description,poster,rating,title,votes
"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.","https://m.media-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",7.1,The Peanuts Movie,44K
"The Smurfs team up with their human friends to rescue Smurfette, who has been abducted by Gargamel, since she knows a secret spell that can turn the evil sorcerer's newest creation, creatures called ""The Naughties"", into real Smurfs.","https://m.media-amazon.com/images/M/MV5BOGI0OTUwNTItZTU0Yy00YmMzLTlkNjQtZDJjZTI2YTliZTM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.3,The Smurfs 2,40K
"It's been some years since the end of the Shinobi War. Naruto Uzumaki is the 7th Hokage of Konohagakure, in this new era. His son, Boruto Uzumaki, will soon enter the Chûnin exams, alongside Sarada Uchiha and the mysterious Mitsuki.","https://m.media-amazon.com/images/M/MV5BNDIwYjg5YzItZTJmMC00YjJhLWFiNjYtMDU5MmQxOTQxODM2XkEyXkFqcGdeQXVyMjc2Nzg5OTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg",7.9,Boruto: Naruto the Movie,9.5K
"A musically driven series about exploring one's world and trying new things while being smart, accepting and optimistic.","https://m.media-amazon.com/images/M/MV5BMmZiMDYxM2YtNmJkNS00Mzk3LTgzMDAtZjI4NTAwZmVhZDcxXkEyXkFqcGdeQXVyNjI4OTg2Njg@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.4,Pete the Cat,262
"The King of Thieves disrupts Aladdin and Jasmine's long-anticipated wedding, looking for an oracle that will lead him to an even bigger treasure. His true identity causes trouble for Aladdin.","https://m.media-amazon.com/images/M/MV5BODFkMjE5YzAtMDFkOC00ZDNhLTkwNmQtODk1Y2VhNThlNWJhXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_QL75_UX190_CR0,7,190,281_.jpg",6.4,Aladdin and the King of Thieves,34K
"Third-year high school student Koyomi Araragi is human again. Cured of his vampirism, he seeks to help other supernaturals with their problems. Koyomi becomes involved in their lives, revealing secrets in people he once knew.","https://m.media-amazon.com/images/M/MV5BYTNlMWFmYjQtM2E2ZC00ZDEwLWI1NjktY2MxMmJkYzNkMzkzXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.0,Bakemonogatari,4.9K
"Beings with supernatural powers join together to fight against supernatural villains. This team of supernatural beings include John Constantine, Zatanna and Jason Blood also known as the demon Etrigan.","https://m.media-amazon.com/images/M/MV5BMmNkMGU4YzEtZTdhZS00YzBhLTgzYzAtZWM2NTQ0ZGU2ZjM3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.1,Justice League Dark,23K
"A trio of young chicken siblings - and Captain Tully, a seasoned watchdog, who use teamwork and critical thinking skills to solve problems in the neighborhood and keep the peace in their backyard.","https://m.media-amazon.com/images/M/MV5BNjc3NjM0YTctN2ZhZi00YTU3LTk3MDQtODY5ODkxOTIyY2IyXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY281_CR11,0,190,281_.jpg",7.1,The Chicken Squad,61
"Princess Adora raises her magic sword and becomes She-Ra, the most powerful woman in the universe, to aid her friends in defeating the Evil Horde so their planet Etheria can be free.","https://m.media-amazon.com/images/M/MV5BNWU3YzllMDMtMWU0OC00ZWEzLWI0NDAtNzAzY2NkZTk4MGZkXkEyXkFqcGdeQXVyMzAzODY0NzE@._V1_QL75_UY281_CR14,0,190,281_.jpg",6.8,She-Ra: Princess of Power,5.5K
The futuristic adventures of a female cyborg counter intelligence agent and her support team.,"https://m.media-amazon.com/images/M/MV5BZWQxZDhiNGEtYmRhYy00OGUxLThhYTMtNjUzMjY0YzhiYjU3XkEyXkFqcGdeQXVyNDYzNTI2ODc@._V1_QL75_UY281_CR11,0,190,281_.jpg",8.5,Kôkaku kidôtai: Stand Alone Complex,19K
Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!,"https://m.media-amazon.com/images/M/MV5BNjMyYzg4NDMtYmE1OC00YzAxLTlhZGMtNjIyMWZkZjQyOWZhXkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.3,Trigun,20K
